import time: self [us] | cumulative | imported package
import time:      1216 |      16423 |         engineio.json
import time:      2361 |       2361 |                 email
import time:      3637 |       5997 |               email.errors
import time:      2130 |       2130 |                         email.quoprimime
import time:      7328 |       7328 |                         email.base64mime
import time:      2361 |       2361 |                             quopri
import time:      1763 |       4123 |                           email.encoders
import time:      2381 |       6504 |                         email.charset
import time:      4106 |      20066 |                       email.header
import time:       379 |        379 |                           _datetime
import time:      1351 |       1730 |                         datetime
import time:      3221 |       3221 |                           calendar
import time:      2001 |       5221 |                         email._parseaddr
import time:      2415 |       9366 |                       email.utils
import time:      2144 |      31575 |                     email._policybase
import time:      3085 |      34660 |                   email.feedparser
import time:      1962 |      36622 |                 email.parser
import time:      3615 |       3615 |                   email._encoded_words
import time:      1757 |       1757 |                   email.iterators
import time:      2812 |       8184 |                 email.message
import time:      3202 |      48006 |               http.client
import time:      3438 |      57440 |             urllib3.exceptions
import time:      1656 |       1656 |                     urllib3.util.timeout
import time:      2181 |       3836 |                   urllib3.util.connection
import time:      2397 |       2397 |                     urllib3.util.util
import time:       798 |        798 |                     brotlicffi
import time:       555 |        555 |                     brotli
import time:       531 |        531 |                     backports
import time:      1916 |       6195 |                   urllib3.util.request
import time:      1466 |       1466 |                   urllib3.util.response
import time:      3146 |       3146 |                   urllib3.util.retry
import time:      6259 |       6259 |                       _hashlib
import time:       354 |        354 |                       _blake2
import time:      2812 |       9424 |                     hashlib
import time:      2266 |       2266 |                     hmac
import time:     14813 |      14813 |                     urllib3.util.url
import time:      2176 |       2176 |                     urllib3.util.ssltransport
import time:     11436 |      40113 |                   urllib3.util.ssl_
import time:      7881 |       7881 |                   urllib3.util.wait
import time:      3024 |      65658 |                 urllib3.util
import time:        84 |      65741 |               urllib3.util.connection
import time:      2758 |      68499 |             urllib3._base_connection
import time:      3017 |       3017 |             urllib3._collections
import time:      1177 |       1177 |             urllib3._version
import time:      2000 |       2000 |                     mimetypes
import time:      1607 |       3606 |                   urllib3.fields
import time:      3104 |       6710 |                 urllib3.filepost
import time:       971 |        971 |                   brotlicffi
import time:       622 |        622 |                   brotli
import time:       180 |        180 |                           _csv
import time:      2117 |       2296 |                         csv
import time:      2030 |       2030 |                             zipfile._path.glob
import time:      3858 |       5888 |                           zipfile._path
import time:      3888 |       9775 |                         zipfile
import time:      2349 |       2349 |                             importlib.metadata._functools
import time:      5863 |       8212 |                           importlib.metadata._text
import time:      4507 |      12718 |                         importlib.metadata._adapters
import time:      2226 |       2226 |                         importlib.metadata._meta
import time:      2078 |       2078 |                         importlib.metadata._collections
import time:      3629 |       3629 |                         importlib.metadata._itertools
import time:      2889 |       2889 |                               importlib.resources.abc
import time:      1944 |       1944 |                               importlib.resources._adapters
import time:      4050 |       8882 |                             importlib.resources._common
import time:      2086 |       2086 |                             importlib.resources._legacy
import time:      2440 |      13407 |                           importlib.resources
import time:      2631 |      16037 |                         importlib.abc
import time:      5920 |      54676 |                       importlib.metadata
import time:      1965 |      56641 |                     urllib3.http2
import time:      1910 |       1910 |                     urllib3.http2.probe
import time:      1653 |       1653 |                     urllib3.util.ssl_match_hostname
import time:      3111 |      63313 |                   urllib3.connection
import time:       770 |        770 |                   backports
import time:      4049 |      69724 |                 urllib3.response
import time:      1705 |      78138 |               urllib3._request_methods
import time:      1386 |       1386 |               urllib3.util.proxy
import time:      1985 |      81507 |             urllib3.connectionpool
import time:      2989 |       2989 |             urllib3.poolmanager
import time:      3400 |     218026 |           urllib3
import time:      2366 |       2366 |                   81d243bd2c585b0f4821__mypyc
import time:      3282 |       3282 |                   charset_normalizer.constant
import time:      1718 |       1718 |                       unicodedata
import time:       124 |        124 |                       _multibytecodec
import time:      2481 |       4322 |                     charset_normalizer.utils
import time:      1525 |       5847 |                   charset_normalizer.md
import time:      2021 |       2021 |                   charset_normalizer.models
import time:      2088 |      15602 |                 charset_normalizer.cd
import time:       111 |        111 |                 _codecs_tw
import time:       126 |        126 |                 _codecs_hk
import time:       124 |        124 |                 _codecs_jp
import time:        99 |         99 |                 _codecs_kr
import time:       114 |        114 |                 _codecs_cn
import time:       112 |        112 |                 _codecs_iso2022
import time:    227302 |     243588 |               charset_normalizer.api
import time:      1065 |       1065 |               charset_normalizer.legacy
import time:       816 |        816 |               charset_normalizer.version
import time:       679 |        679 |               simplejson
import time:      1599 |       1599 |                 copy
import time:      1672 |       1672 |                     urllib.response
import time:      1403 |       3074 |                   urllib.error
import time:      1714 |       1714 |                   nturl2path
import time:      3679 |       8466 |                 urllib.request
import time:      8555 |      18620 |               http.cookiejar
import time:      4249 |     269015 |             requests.compat
import time:      2192 |     271206 |           requests.exceptions
import time:       721 |        721 |           chardet
import time:      2226 |       2226 |                 idna.idnadata
import time:      1400 |       1400 |                 idna.intranges
import time:      4278 |       7904 |               idna.core
import time:      2039 |       2039 |               idna.package_data
import time:      2185 |      12128 |             idna
import time:     19706 |      31833 |           requests.packages
import time:      1843 |       1843 |                 certifi.core
import time:      3890 |       5732 |               certifi
import time:      1144 |       6876 |             requests.certs
import time:      4346 |       4346 |             requests.__version__
import time:      3244 |       3244 |             requests._internal_utils
import time:      2598 |       2598 |             requests.cookies
import time:      2045 |       2045 |             requests.structures
import time:      1718 |       1718 |                 importlib.resources._itertools
import time:      3315 |       5032 |               importlib.resources.readers
import time:      1110 |       6142 |             importlib.readers
import time:      2631 |      27880 |           requests.utils
import time:      3074 |       3074 |                 requests.auth
import time:      2579 |       2579 |                     stringprep
import time:      2851 |       5429 |                   encodings.idna
import time:      1475 |       1475 |                   requests.hooks
import time:      1598 |       1598 |                   requests.status_codes
import time:     10781 |      19281 |                 requests.models
import time:      7986 |       7986 |                   urllib3.contrib
import time:       765 |        765 |                   socks
import time:      3816 |      12565 |                 urllib3.contrib.socks
import time:      2234 |      37153 |               requests.adapters
import time:      1377 |      38529 |             requests.sessions
import time:      1833 |      40361 |           requests.api
import time:      3060 |     593086 |         requests
import time:       218 |        218 |             array
import time:      1868 |       1868 |             websocket._exceptions
import time:       663 |        663 |                 wsaccel
import time:        70 |        732 |               wsaccel.utf8validator
import time:      1444 |       2175 |             websocket._utils
import time:       661 |        661 |               wsaccel
import time:        58 |        719 |             wsaccel.xormask
import time:      2117 |       7095 |           websocket._abnf
import time:      1409 |       1409 |             websocket._logging
import time:      1125 |       1125 |                 websocket._cookiejar
import time:      2861 |       2861 |                     websocket._ssl_compat
import time:      2510 |       5371 |                   websocket._socket
import time:      1653 |       1653 |                   websocket._url
import time:       613 |        613 |                     python_socks
import time:        61 |        673 |                   python_socks._errors
import time:      1678 |       9374 |                 websocket._http
import time:      1436 |      11934 |               websocket._handshake
import time:      1434 |       1434 |               websocket._dispatcher
import time:      1957 |      15324 |             websocket._core
import time:      2584 |      19316 |           websocket._app
import time:      2592 |      29003 |         websocket
import time:      7311 |       7311 |           engineio.packet
import time:      4767 |      12077 |         engineio.base_client
import time:      4310 |       4310 |         engineio.exceptions
import time:      2946 |       2946 |         engineio.payload
import time:      2218 |     673574 |       engineio.client
import time:      1048 |       1048 |         engineio.static_files
import time:      1465 |       2512 |       engineio.middleware
import time:      3508 |       3508 |           gzip
